LGA_code,LGA_name,0-14 count,"0-14 ASR per 100,000",0-14 SR,15-24 count,"15-24 ASR per 100,000",15-24 SR
24850a,Mitchell (S) - part a,35,923,125,10,447.6,112
24970a,Monash (C) - part a,247,871,118,89,250.5,63
25620a,Murrindindi (S) - part a,#,..,..,#,..,..
25710,Nillumbik (S),71,636.4,86,29,314.3,79
26980,Whitehorse (C),149,529.9,72,47,167.8,42
27070,Whittlesea (C),453,864.7,117,137,471.5,118
27450,Yarra Ranges (S),299,"1,007.40",137,85,431.2,108
PHN203,South Eastern Melbourne,"2,098",699.9,95,809,400,100
20910,Bayside (C),105,617.7,84,48,371,93
21450,Cardinia (S),193,729.8,99,71,509,128
21610,Casey (C),616,754.3,102,225,469.6,118
22170,Frankston (C),188,671.1,91,89,530.7,133
22310,Glen Eira (C),198,727.5,99,61,297.7,75
22670,Greater Dandenong (C),269,815.7,111,72,302,76
23430,Kingston (C),235,805.5,109,73,375.6,94
24970b,Monash (C) - part b,11,871,118,#,..,..
25340,Mornington Peninsula (S),122,456.8,62,80,443.6,111
25900,Port Phillip (C),84,553,75,47,421.8,106
26350,Stonnington (C),78,555,75,42,255.4,64
PHN204,Gippsland,361,724.9,98,130,429.8,108
20740,Bass Coast (S),22,387.5,53,22,747,188
20830,Baw Baw (S),67,664.1,90,23,376.6,95
22110,East Gippsland (S),58,779,106,22,514,129
23810,Latrobe (C),140,"1,013.20",138,34,370.5,93
26170,South Gippsland (S),29,574.4,78,#,..,..
26810,Wellington (S),45,588.6,80,25,512.1,129
29399a,Unincorporated Vic - part a,#,..,..,#,..,..
PHN205,Murray,746,661.2,90,253,345,87
10050,Albury (C),50,458.4,62,27,382.5,96
20110,Alpine (S),6,317.3,43,5,456.5,115
21010,Benalla (RC),14,628.6,85,#,..,..
21270,Buloke (S),7,735.7,100,#,..,..
21370,Campaspe (S),53,826.9,112,18,422.4,106
22250,Gannawarra (S),11,682.2,93,#,..,..
22620,Greater Bendigo (C),150,672.3,91,59,379.1,95
22830,Greater Shepparton (C),153,"1,146.40",156,30,368.8,93
23350,Indigo (S),11,411.1,56,6,359.7,90
23940a,Loddon (S) - part a,5,492.5,67,#,..,..
24130b,Macedon Ranges (S) - part b,16,468.5,64,5,248.3,62
24250,Mansfield (S),6,428.9,58,#,..,..
24780,Mildura (RC),49,453,62,16,228.7,57
24850b,Mitchell (S) - part b,53,923,125,16,447.6,112
24900,Moira (S),35,697.1,95,22,679.6,171
25430,Mount Alexander (S),6,218,30,8,460.1,116
25620b,Murrindindi (S) - part b,11,727.2,99,#,..,..
26430,Strathbogie (S),10,675.8,92,#,..,..
26610,Swan Hill (RC),22,530.4,72,#,..,..
26670,Towong (S),#,..,..,#,..,..
26700,Wangaratta (RC),48,966.9,131,7,235,59
27170,Wodonga (C),43,493.6,67,13,232.5,58
29399b,Unincorporated Vic - part b,#,..,..,#,..,..
PHN206,Western Victoria,"1,021",865.1,117,378,473,119
20260,Ararat (RC),#,..,..,5,472.3,119
20570,Ballarat (C),130,624.7,85,98,657,165
21670,Central Goldfields (S),10,508.2,69,7,520,131
21750,Colac-Otway (S),6,150.1,20,10,424,106
21830,Corangamite (S),10,364.3,49,8,457.2,115
22410,Glenelg (S),9,299.3,41,6,277,70
22490,Golden Plains (S),45,945,128,13,464.8,117
22750,Greater Geelong (C),603,"1,280.00",174,146,438.7,110
22910,Hepburn (S),12,535.3,73,5,411.2,103
22980,Hindmarsh (S),9,"1,082.30",147,#,..,..
23190,Horsham (RC),8,210.9,29,9,385.5,97
23940b,Loddon (S) - part b,#,..,..,#,..,..
25150b,Moorabool (S) - part b,15,640.7,87,8,517.1,130
25490,Moyne (S),21,677.1,92,8,458.3,115
25810,Northern Grampians (S),#,..,..,6,501.1,126
25990,Pyrenees (S),#,..,..,#,..,..
26080,Queenscliffe (B),8,"2,658.60",361,#,..,..
26260,Southern Grampians (S),16,580,79,8,447.6,112
26490,Surf Coast (S),68,"1,060.80",144,9,284,71
26730,Warrnambool (C),31,499.5,68,22,477.7,120
26890,West Wimmera (S),7,991.1,135,#,..,..
27630,Yarriambiack (S),11,"1,119.60",152,#,..,..
PHN301,Brisbane North,"1,422",762.3,104,622,426.9,107
31000a,Brisbane (C) - part a,621,617,84,299,356.2,89
35010,Moreton Bay (R),867,937.5,127,326,561.6,141
36580a,Somerset (R) - part a,5,601.5,82,#,..,..
PHN302,Brisbane South,"2,304",989.3,134,932,570.7,143
31000b,Brisbane (C) - part b,740,617,84,357,356.2,89
34590,Logan (C),"1,210","1,584.20",215,406,883.8,222
36250,Redland (C),264,954.8,130,157,800.8,201
36510a,Scenic Rim (R) - part a,21,865.7,118,8,475,119
PHN303,Gold Coast,"1,301","1,159.60",157,435,534,134
33430,Gold Coast (C),"1,272","1,158.70",157,428,536.1,135
36510b,Scenic Rim (R) - part b,22,865.7,118,8,475,119
PHN304,Darling Downs and West Moreton,834,676.8,92,408,551,138
30370a,Banana (S) - part a,#,..,..,#,..,..
32330,Cherbourg (S),#,..,..,#,..,..
33610,Goondiwindi (R),22,933.3,127,12,"1,091.90",274
33960,Ipswich (C),405,758.8,103,210,710.5,178
34580,Lockyer Valley (R),56,736.6,100,26,469.4,118
36510c,Scenic Rim (R) - part c,18,865.7,118,7,475,119
36580b,Somerset (R) - part b,24,601.5,82,14,622.5,156
36630,South Burnett (R),56,977.5,133,13,370.6,93
36660,Southern Downs (R),43,697.8,95,17,442.7,111
36910,Toowoomba (R),150,457.4,62,78,359,90
37310,Western Downs (R),61,816.4,111,27,675.3,170
PHN305,Western Queensland,156,"1,040.00",141,64,932.4,234
30300,Balonne (S),9,916.1,124,5,"1,101.60",277
30410,Barcaldine (R),6,987,134,#,..,..
30450,Barcoo (S),#,..,..,#,..,..
30760,Blackall-Tambo (R),#,..,..,#,..,..
30900,Boulia (S),#,..,..,#,..,..
31750,Bulloo (S),#,..,..,#,..,..
31950,Burke (S),#,..,..,#,..,..
32250,Carpentaria (S),6,"1,409.00",191,#,..,..
32450,Cloncurry (S),8,"1,180.10",160,#,..,..
32750,Diamantina (S),#,..,..,#,..,..
32770,Doomadgee (S),#,..,..,#,..,..
34710,Longreach (R),7,"1,199.80",163,#,..,..
34800,McKinlay (S),#,..,..,#,..,..
34860,Maranoa (R),22,768.3,104,6,463.7,116
35250,Mornington (S),#,..,..,#,..,..
35300,Mount Isa (C),64,"1,211.20",164,26,"1,105.90",278
35600,Murweh (S),9,923.8,125,#,..,..
35800,Paroo (S),#,..,..,#,..,..
36150,Quilpie (S),#,..,..,#,..,..
37400,Winton (S),#,..,..,#,..,..
PHN306,"Central Queensland, Wide Bay, Sunshine Coast","1,760","1,159.80",157,581,598.2,150
30370b,Banana (S) - part b,36,"1,264.30",172,10,739,186
31820,Bundaberg (R),145,932.8,127,56,538,135
32270,Central Highlands (R),106,"1,434.20",195,30,982.1,247
33220,Fraser Coast (R),145,902.5,123,55,547.9,138
33360,Gladstone (R),122,857.9,116,30,402.6,101
33620,Gympie (R),90,"1,042.10",142,27,526.9,132
34530,Livingstone (S),59,900.2,122,31,727.7,183
35740,Noosa (S),65,887.3,120,19,354.3,89
35760,North Burnett (R),19,"1,174.20",159,15,"1,366.40",343
36370,Rockhampton (R),143,850.9,116,53,473,119
36720,Sunshine Coast (R),826,"1,520.70",206,254,675.7,170
37550,Woorabinda (S),#,..,..,#,..,..
PHN307,Northern Queensland,"1,209",874.5,119,492,556,140
30250,Aurukun (S),#,..,..,#,..,..
31900,Burdekin (S),15,546.4,74,6,306.5,77
32080,Cairns (R),369,"1,118.50",152,99,498.3,125
32260,Cassowary Coast (R),51,943.2,128,43,"1,381.50",347
32310,Charters Towers (R),18,884.5,120,9,601.1,151
32500,Cook (S),14,"1,641.50",223,6,"1,320.70",332
32600,Croydon (S),#,..,..,#,..,..
32810,Douglas (S),25,"1,290.80",175,11,973.1,244
33100,Etheridge (S),#,..,..,#,..,..
33200,Flinders (S),#,..,..,#,..,..
33800,Hinchinbrook (S),16,"1,100.50",149,8,724.6,182
33830,Hope Vale (S),#,..,..,#,..,..
33980,Isaac (R),32,568.4,77,11,574.4,144
34420,Kowanyama (S),#,..,..,#,..,..
34570,Lockhart River (S),#,..,..,#,..,..
34770,Mackay (R),143,592.1,80,60,436.9,110
34830,Mapoon (S),#,..,..,#,..,..
34880,Mareeba (S),81,"2,159.10",293,52,"2,064.30",518
35670,Napranum (S),#,..,..,#,..,..
35780,Northern Peninsula Area (R),9,727.5,99,#,..,..
35790,Palm Island (S),#,..,..,#,..,..
36070,Pormpuraaw (S),#,..,..,#,..,..
36300,Richmond (S),#,..,..,#,..,..
36820,Tablelands (R),48,"1,128.80",153,17,683.9,172
36950,Torres (S),11,"1,109.40",151,#,..,..
36960,Torres Strait Island (R),14,843.2,114,6,739.7,186
37010,Townsville (C),244,626.9,85,107,354.6,89
37300,Weipa (T),12,"1,008.10",137,#,..,..
37340,Whitsunday (R),71,"1,154.20",157,26,677.3,170
37570,Wujal Wujal (S),#,..,..,#,..,..
37600,Yarrabah (S),7,737.4,100,5,942.6,237
PHN401,Adelaide,"2,107",970.6,132,463,285.1,72
40070,Adelaide (C),13,818.4,111,11,147.5,37
40700,Burnside (C),59,875.5,119,9,142.7,36
40910,Campbelltown (C),79,936.9,127,17,262.9,66
41060,Charles Sturt (C),222,"1,159.00",157,44,300.3,75
42600,Holdfast Bay (C),35,756,103,14,333.4,84
44060,Marion (C),112,686.9,93,32,270.9,68
44340,Mitcham (C),65,587.6,80,13,141.9,36
45290,Norwood Payneham St Peters (C),44,850.7,116,9,197.6,50
45340,Onkaparinga (C),262,840.3,114,92,433.8,109
45680,Playford (C),253,"1,093.40",148,57,441.2,111
45890,Port Adelaide Enfield (C),287,"1,225.70",166,41,265.1,67
46510,Prospect (C),38,983,133,7,241,61
47140,Salisbury (C),323,"1,106.90",150,53,281.8,71
47700,Tea Tree Gully (C),135,798.4,108,29,234.6,59
47980,Unley (C),52,903.3,123,10,196.1,49
48260,Walkerville (M),14,"1,278.90",174,#,..,..
48410,West Torrens (C),113,"1,209.20",164,23,285.4,72
PHN402,Country SA,627,731.6,99,217,388.7,98
40120,Adelaide Hills (DC),43,656.8,89,9,183.8,46
43920,Adelaide Plains (DC),8,543.5,74,#,..,..
40220,Alexandrina (DC),29,780.1,106,13,509.7,128
40250,Anangu Pitjantjatjara (AC),22,"3,413.80",464,#,..,..
40310,Barossa (DC),29,706.9,96,13,461.5,116
40430,Barunga West (DC),#,..,..,#,..,..
40520,Berri and Barmera (DC),19,"1,028.50",140,9,720.3,181
41010,Ceduna (DC),8,"1,050.20",143,#,..,..
41140,Clare and Gilbert Valleys (DC),11,736,100,#,..,..
41190,Cleve (DC),#,..,..,#,..,..
41330,Coober Pedy (DC),9,"2,490.60",338,#,..,..
41560,Copper Coast (DC),9,413.2,56,7,479.4,120
41750,Elliston (DC),#,..,..,#,..,..
41830,Flinders Ranges (DC),#,..,..,#,..,..
41960,Franklin Harbour (DC),#,..,..,#,..,..
42030,Gawler (T),38,869.8,118,10,301.8,76
42110,Goyder (DC),#,..,..,#,..,..
42250,Grant (DC),9,738.2,100,#,..,..
42750,Kangaroo Island (DC),#,..,..,#,..,..
43080,Karoonda East Murray (DC),#,..,..,#,..,..
43220,Kimba (DC),#,..,..,#,..,..
43360,Kingston (DC),#,..,..,#,..,..
43650,Light (RegC),23,850.5,115,#,..,..
43710,Lower Eyre Peninsula (DC),7,665,90,#,..,..
43790,Loxton Waikerie (DC),7,370.3,50,6,501.4,126
44000,Maralinga Tjarutja (AC),#,..,..,#,..,..
44210,Mid Murray (DC),#,..,..,7,863.1,217
44550,Mount Barker (DC),53,755.9,103,13,286.2,72
44620,Mount Gambier (C),35,654.9,89,10,297.4,75
44830,Mount Remarkable (DC),#,..,..,#,..,..
45040,Murray Bridge (RC),23,612.9,83,18,646.6,162
45090,Naracoorte and Lucindale (DC),7,445.2,60,6,670.8,168
45120,Northern Areas (DC),7,886.5,120,#,..,..
45400,Orroroo/Carrieton (DC),#,..,..,#,..,..
45540,Peterborough (DC),#,..,..,#,..,..
46090,Port Augusta (C),29,"1,092.70",148,7,444.9,112
46300,Port Lincoln (C),14,478.4,65,#,..,..
46450,Port Pirie City and Dists (M),22,703.4,96,6,284.6,71
46670,Renmark Paringa (DC),12,747.4,101,#,..,..
46860,Robe (DC),#,..,..,#,..,..
46970,Roxby Downs (M),#,..,..,#,..,..
47290,Southern Mallee (DC),#,..,..,#,..,..
47490,Streaky Bay (DC),5,"1,123.70",153,#,..,..
47630,Tatiara (DC),6,513.6,70,#,..,..
47800,The Coorong (DC),8,899.1,122,6,"1,039.80",261
47910,Tumby Bay (DC),#,..,..,#,..,..
48050,Victor Harbor (C),17,889.9,121,#,..,..
48130,Wakefield (DC),9,753,102,#,..,..
48340,Wattle Range (DC),12,595.2,81,#,..,..
48540,Whyalla (C),29,715.2,97,10,407.6,102
48640,Wudinna (DC),#,..,..,#,..,..
48750,Yankalilla (DC),6,782.9,106,#,..,..
48830,Yorke Peninsula (DC),#,..,..,6,702.5,176
49399,Unincorporated SA,16,"3,241.70",440,#,..,..
PHN501,Perth North,"1,054",513.7,70,494,362.9,91
50350,Bassendean (T),18,582.7,79,7,410.7,103
50420,Bayswater (C),60,506.1,69,31,411.2,103
51310,Cambridge (T),15,305.5,41,13,356.4,89
51750,Claremont (T),#,..,..,#,..,..
52170,Cottesloe (T),#,..,..,#,..,..
54170,Joondalup (C),114,398.7,54,58,274.5,69
54200,Kalamunda (S),51,461.3,63,25,337.5,85
55740,Mosman Park (T),#,..,..,#,..,..
56090,Mundaring (S),45,717.8,97,18,385.7,97
56580,Nedlands (C),14,376.8,51,15,432.4,109
56930,Peppermint Grove (S),#,..,..,#,..,..
57080,Perth (C),7,284.3,39,7,170.9,43
57910,Stirling (C),201,496.6,67,93,380.1,95
57980,Subiaco (C),11,380.5,52,10,418.7,105
58050,Swan (C),207,620.2,84,92,477,120
58570,Vincent (C),24,417.9,57,15,390.5,98
58760,Wanneroo (C),278,584.1,79,98,348,87
PHN502,Perth South,"1,042",517.3,70,326,252.2,63
50210,Armadale (C),109,478,65,21,196.8,49
50490,Belmont (C),53,677,92,12,244,61
51330,Canning (C),126,767.8,104,24,161.7,41
51820,Cockburn (C),84,351,48,39,286.7,72
53150,East Fremantle (T),#,..,..,#,..,..
53430,Fremantle (C),20,403.8,55,12,409.6,103
53780,Gosnells (C),138,511.1,69,27,164.8,41
54830,Kwinana (C),41,366.8,50,20,360.2,90
55110,Mandurah (C),116,747.6,102,49,492.2,124
55320,Melville (C),71,428.2,58,22,165.2,41
56230,Murray (S),24,794.8,108,13,610.7,153
57490,Rockingham (C),169,568,77,47,266,67
57700,Serpentine-Jarrahdale (S),42,508.9,69,13,326.9,82
57840,South Perth (C),20,311,42,10,148.4,37
58510,Victoria Park (T),21,358.3,49,11,229.4,58
58820,Waroona (S),#,..,..,#,..,..
PHN503,Country WA,950,883.9,120,203,368.1,92
50080,Albany (C),29,443.9,60,13,290.5,73
50250,Ashburton (S),15,704.6,96,#,..,..
50280,Augusta-Margaret River (S),17,495.3,67,#,..,..
50560,Beverley (S),#,..,..,#,..,..
50630,Boddington (S),#,..,..,#,..,..
50770,Boyup Brook (S),#,..,..,#,..,..
50840,Bridgetown-Greenbushes (S),#,..,..,#,..,..
50910,Brookton (S),#,..,..,#,..,..
50980,Broome (S),51,"1,219.90",166,12,638.2,160
51080,Broomehill-Tambellup (S),#,..,..,#,..,..
51120,Bruce Rock (S),#,..,..,#,..,..
51190,Bunbury (C),33,569.9,77,13,375.4,94
51260,Busselton (C),34,482.3,65,9,227.3,57
51400,Capel (S),21,552.2,75,7,281.9,71
51470,Carnamah (S),#,..,..,#,..,..
51540,Carnarvon (S),16,"1,548.20",210,#,..,..
51610,Chapman Valley (S),#,..,..,#,..,..
51680,Chittering (S),#,..,..,#,..,..
51890,Collie (S),18,"1,109.90",151,5,503.6,126
51960,Coolgardie (S),12,"1,483.30",201,#,..,..
52030,Coorow (S),#,..,..,#,..,..
52100,Corrigin (S),#,..,..,#,..,..
52240,Cranbrook (S),#,..,..,#,..,..
52310,Cuballing (S),#,..,..,#,..,..
52380,Cue (S),#,..,..,#,..,..
52450,Cunderdin (S),#,..,..,#,..,..
52520,Dalwallinu (S),#,..,..,#,..,..
52590,Dandaragan (S),#,..,..,#,..,..
52660,Dardanup (S),19,576.8,78,#,..,..
52730,Denmark (S),5,578.7,79,#,..,..
52800,Derby-West Kimberley (S),53,"2,299.40",312,13,"1,195.60",300
52870,Donnybrook-Balingup (S),#,..,..,#,..,..
52940,Dowerin (S),#,..,..,#,..,..
53010,Dumbleyung (S),#,..,..,#,..,..
53080,Dundas (S),#,..,..,#,..,..
53220,East Pilbara (S),23,"1,267.20",172,#,..,..
53290,Esperance (S),8,297.9,40,#,..,..
53360,Exmouth (S),#,..,..,#,..,..
53570,Gingin (S),#,..,..,#,..,..
53640,Gnowangerup (S),#,..,..,#,..,..
53710,Goomalling (S),#,..,..,#,..,..
53800,Greater Geraldton (C),87,"1,102.70",150,16,337.9,85
53920,Halls Creek (S),20,"1,956.40",266,#,..,..
53990,Harvey (S),40,694.4,94,6,181.8,46
54060,Irwin (S),6,"1,223.80",166,#,..,..
54130,Jerramungup (S),#,..,..,#,..,..
54280,Kalgoorlie/Boulder (C),89,"1,200.80",163,8,230.1,58
54310,Karratha (C),66,"1,045.10",142,6,266.8,67
54340,Katanning (S),7,917.5,125,#,..,..
54410,Kellerberrin (S),#,..,..,#,..,..
54480,Kent (S),#,..,..,#,..,..
54550,Kojonup (S),#,..,..,#,..,..
54620,Kondinin (S),#,..,..,#,..,..
54690,Koorda (S),#,..,..,#,..,..
54760,Kulin (S),#,..,..,#,..,..
54900,Lake Grace (S),#,..,..,#,..,..
54970,Laverton (S),5,"3,935.30",534,#,..,..
55040,Leonora (S),11,"3,418.20",464,#,..,..
55180,Manjimup (S),11,713.4,97,#,..,..
55250,Meekatharra (S),#,..,..,#,..,..
55390,Menzies (S),#,..,..,#,..,..
55460,Merredin (S),#,..,..,#,..,..
55530,Mingenew (S),#,..,..,#,..,..
55600,Moora (S),#,..,..,#,..,..
55670,Morawa (S),#,..,..,#,..,..
55810,Mount Magnet (S),#,..,..,#,..,..
55880,Mount Marshall (S),#,..,..,#,..,..
55950,Mukinbudin (S),#,..,..,#,..,..
56160,Murchison (S),#,..,..,#,..,..
56300,Nannup (S),#,..,..,#,..,..
56370,Narembeen (S),#,..,..,#,..,..
56460,Narrogin (S),6,713.5,97,#,..,..
56620,Ngaanyatjarraku (S),6,"1,545.40",210,#,..,..
56730,Northam (S),13,642.5,87,#,..,..
56790,Northampton (S),6,"1,119.10",152,#,..,..
